epsilon,min_modulus,winding,parity,slip_rate_standard,slip_rate_lifted,visibility_standard,visibility_lifted,slip_delta,visibility_delta
0.0,0.65,1.0,-1.0,1.0,0.0,0.7046880897187134,1.0,1.0,0.29531191028128656
0.04,0.61,1.0,-1.0,1.0,0.0,0.7046880897187134,1.0,1.0,0.29531191028128656
0.08,0.5700000000000001,1.0,-1.0,1.0,0.0,0.7046880897187134,1.0,1.0,0.29531191028128656
0.12,0.53,1.0,-1.0,1.0,0.0,0.7046880897187134,1.0,1.0,0.29531191028128656
0.16,0.49,1.0,-1.0,1.0,0.0,0.7046880897187134,1.0,1.0,0.29531191028128656
0.2,0.45,1.0,-1.0,1.0,0.0,0.7046880897187134,1.0,1.0,0.29531191028128656
